iter	Passed	Remaining
0	1	147
1	2	134
2	7	232
3	8	196
4	9	179
5	10	168
6	12	160
7	13	154
8	14	148
9	15	143
10	17	139
11	18	136
12	21	143
13	23	144
14	24	140
15	25	136
16	27	132
17	28	129
18	29	126
19	30	123
20	32	121
21	39	138
22	40	136
23	42	133
24	43	130
25	44	127
26	46	124
27	47	121
28	52	127
29	53	125
30	55	123
31	56	120
32	58	118
33	59	115
34	60	112
35	62	110
36	67	115
37	69	112
38	70	110
39	71	107
40	72	104
41	73	101
42	74	98
43	75	96
44	77	94
45	79	93
46	82	93
47	83	90
48	85	88
49	86	86
50	87	84
51	89	82
52	90	80
53	91	77
54	92	75
55	97	76
56	98	74
57	100	72
58	101	70
59	102	68
60	104	66
61	105	64
62	106	62
63	107	60
64	110	59
65	112	58
66	114	56
67	115	54
68	116	52
69	117	50
70	119	48
71	120	46
72	121	44
73	126	44
74	128	42
75	130	41
76	131	39
77	132	37
78	133	35
79	135	33
80	136	32
81	139	30
82	141	28
83	142	27
84	144	25
85	145	23
86	146	21
87	148	20
88	149	18
89	150	16
90	156	15
91	157	13
92	158	11
93	160	10
94	161	8
95	162	6
96	163	5
97	164	3
98	166	1
99	168	0
